, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
 ,,, $15.00 ,gel,3:44,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $138.00 ,, $101.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $33.00 ,TAHE', $71.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $105.00 ,FELIX, $30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2024, $13.00 ,orig jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $20.00 ,con, $16.00 ,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2024,,, $18.00 ,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $60.00 ,tahe bonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,polbo, $10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,crema, $18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel mode jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,gel mode jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,jonyby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, mouse , $18.00 ,,4 00 pm,lesther,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2024,,polvo jb, $10.00 ,,2.41pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $92.00 ,FELIX , $150.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $114.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $36.00 ,FLIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, M ,A, Y ,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2024,,WAX KUL, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,CERA JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,pieneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
